Title,Speakers,Day,Type,Place,Start,End
Game of Patterns,Álvaro León/Antonio Melé/David García,Domingo,Charla,Sala Ilion Animation,12:50,13:30
Data Science meets Economy:how to meassure social impact from consumption data,Marta Rivero Alba,Domingo,Charla,Sala PSF,12:50,13:30
Multiprocessing Manager for Experiments,Carlos Perales-González,Domingo,Charla,Sala Eventbrite,13:30,13:50
El lado oscuro del Scraping en Recruiting,Teresa Salazar García-Rosales,Domingo,Charla,Salón Microsoft,13:30,13:50
Implementación de flujos de tareas mediante Airflow,Jordi Contesti,Domingo,Charla,Sala Ilion Animation,13:30,13:50
Using Python to manipulate Data in experimental mechanics: A test case in Atomic Microscopy Force,Matthew Eaton,Domingo,Charla,Sala PSF,13:30,13:50
Lightning Talks,---,Domingo,Charla,---,15:30,16:00
Keynote,---,Domingo,Charla,Paraninfo,16:00,17:00
Keynote,---,Domingo,Charla,Paraninfo,9:30,10:30
Keynote,---,Sábado,Charla,Paraninfo,9:30,10:30
Keynote,---,Sábado,Charla,Paraninfo,18:30,19:30
Lightning Talks,---,Sábado,Charla,---,17:35,18:30
